Timestamp,Source_IP,Destination_IP,Protocol,Activity,Threat_Type,Severity,Status,Label
3/12/2026 14:54,10.40.59.52,172.30.9.170,HTTP,Regular communication,Malware Activity,Low,Monitored,Normal
1/7/2026 16:36,10.184.180.193,192.168.238.161,HTTP,Suspicious packet flow,DDoS,Medium,Detected,Normal
2/18/2026 0:57,192.168.222.139,192.168.129.249,UDP,Suspicious packet flow,DNS Poisoning,Low,Monitored,Normal
3/30/2026 20:32,192.168.218.83,10.60.175.176,ARP,Normal traffic,ARP Spoofing,Low,Blocked,Normal
1/2/2026 22:28,192.168.61.34,172.30.215.40,ARP,Connection retry,DDoS,High,Blocked,Suspicious
1/4/2026 9:32,192.168.192.7,192.168.150.230,HTTP,Repeated requests,DDoS,Low,Blocked,Suspicious
1/6/2026 8:20,172.28.157.112,172.30.83.110,DNS,High request rate,ARP Spoofing,Low,Monitored,Suspicious
2/15/2026 13:44,10.154.76.112,172.19.165.188,DNS,Repeated requests,Brute Force,High,Blocked,Suspicious
2/28/2026 14:53,10.253.42.194,192.168.166.189,TCP,Abnormal lookup,DNS Poisoning,Low,Detected,Suspicious
1/13/2026 11:44,192.168.127.187,10.64.194.170,TCP,Normal traffic,Phishing,Low,Detected,Suspicious
3/18/2026 6:42,10.120.26.9,172.16.255.124,ARP,Unauthorized access,Phishing,High,Blocked,Suspicious
1/1/2026 22:28,10.2.13.120,10.6.140.50,DNS,Connection retry,ARP Spoofing,High,Monitored,Suspicious
2/18/2026 11:54,192.168.88.139,192.168.234.160,ARP,Unauthorized access,Brute Force,Medium,Detected,Normal
1/21/2026 19:26,192.168.156.227,172.16.146.153,UDP,Suspicious packet flow,Brute Force,Low,Detected,Suspicious
2/7/2026 2:22,172.21.172.163,192.168.96.120,HTTP,Suspicious packet flow,DDoS,High,Blocked,Normal
2/2/2026 2:02,10.99.155.50,10.0.235.183,TCP,Regular communication,SQL Injection,Low,Monitored,Suspicious
2/23/2026 0:54,172.25.60.108,172.19.175.108,TCP,High request rate,DDoS,Low,Blocked,Suspicious
2/9/2026 20:19,172.30.47.232,192.168.58.218,TCP,High request rate,SQL Injection,High,Detected,Suspicious
1/15/2026 15:10,10.219.214.9,10.195.56.209,DNS,Regular communication,DDoS,Medium,Monitored,Suspicious
5/3/2026 6:36,172.17.28.54,172.27.122.78,UDP,Normal traffic,Malware Activity,Low,Blocked,Normal
3/13/2026 14:23,192.168.99.25,10.37.208.189,ARP,Regular communication,Malware Activity,Low,Monitored,Suspicious
2/7/2026 2:36,192.168.132.164,192.168.71.232,DNS,Normal traffic,DDoS,Medium,Blocked,Suspicious
3/13/2026 19:50,172.20.112.186,192.168.124.234,DNS,Unauthorized access,DDoS,Low,Detected,Normal
4/16/2026 9:28,10.234.150.121,172.20.102.208,UDP,Unauthorized access,Malware Activity,High,Blocked,Suspicious
1/13/2026 0:19,192.168.153.114,192.168.89.159,HTTP,Suspicious packet flow,SQL Injection,High,Blocked,Normal
3/3/2026 11:12,10.240.23.214,172.26.173.190,TCP,Suspicious packet flow,Brute Force,Medium,Monitored,Normal
1/6/2026 1:59,172.19.39.169,172.27.236.20,HTTP,Repeated requests,DNS Poisoning,Low,Blocked,Normal
2/1/2026 2:30,10.126.57.185,192.168.37.235,HTTP,Connection retry,Brute Force,Medium,Detected,Suspicious
1/30/2026 11:12,10.222.54.137,192.168.176.214,HTTP,High request rate,Brute Force,Low,Detected,Suspicious
2/26/2026 7:30,192.168.50.11,192.168.51.179,HTTP,Normal traffic,Phishing,Low,Blocked,Suspicious
1/1/2026 17:48,192.168.199.166,10.241.99.34,HTTP,Connection retry,DDoS,Medium,Detected,Normal
4/9/2026 16:18,172.19.235.110,172.25.37.169,ARP,High request rate,DNS Poisoning,Medium,Blocked,Normal
4/8/2026 21:24,10.10.186.44,10.215.173.90,ARP,High request rate,DNS Poisoning,Low,Detected,Suspicious
2/24/2026 3:14,10.246.8.192,172.27.217.95,HTTP,Normal traffic,ARP Spoofing,Low,Detected,Suspicious
2/6/2026 10:37,172.19.221.46,192.168.57.146,DNS,Repeated requests,Malware Activity,Medium,Monitored,Suspicious
2/10/2026 3:26,10.97.247.127,10.229.69.248,ARP,Connection retry,SQL Injection,Medium,Monitored,Suspicious
5/2/2026 9:24,10.185.48.98,172.19.4.66,HTTP,Abnormal lookup,Phishing,Medium,Detected,Normal
4/20/2026 3:17,192.168.143.158,10.164.185.185,ARP,Suspicious packet flow,SQL Injection,Medium,Blocked,Normal
4/7/2026 11:43,192.168.59.244,192.168.198.147,ARP,Abnormal lookup,SQL Injection,Low,Detected,Normal
2/16/2026 2:04,172.17.100.155,172.19.11.196,DNS,Connection retry,Brute Force,High,Blocked,Normal
4/22/2026 10:36,172.29.83.37,10.57.182.79,TCP,Suspicious packet flow,ARP Spoofing,Medium,Detected,Suspicious
4/14/2026 1:04,172.20.29.162,192.168.30.113,DNS,Suspicious packet flow,Malware Activity,Medium,Blocked,Suspicious
1/13/2026 17:01,192.168.50.4,10.54.103.136,ARP,High request rate,SQL Injection,High,Monitored,Normal
2/10/2026 4:18,172.19.38.124,10.132.122.169,TCP,Normal traffic,DNS Poisoning,Low,Blocked,Suspicious
3/15/2026 3:03,10.207.143.170,172.31.35.26,ARP,Normal traffic,Malware Activity,Medium,Monitored,Suspicious
4/8/2026 0:16,172.29.152.144,192.168.90.142,TCP,Abnormal lookup,DDoS,Low,Blocked,Normal
1/27/2026 18:14,192.168.196.26,10.10.175.167,ARP,Unauthorized access,DNS Poisoning,Low,Blocked,Suspicious
1/11/2026 6:16,172.25.86.236,192.168.255.89,DNS,Regular communication,ARP Spoofing,Low,Detected,Normal
3/3/2026 12:15,10.81.248.250,172.18.89.199,HTTP,High request rate,ARP Spoofing,Low,Monitored,Normal
1/22/2026 4:26,192.168.201.228,10.90.199.242,DNS,Abnormal lookup,SQL Injection,Medium,Detected,Suspicious
3/21/2026 16:54,172.25.162.123,172.28.212.62,HTTP,Regular communication,DDoS,Medium,Blocked,Normal
2/13/2026 0:03,10.86.88.74,10.98.211.66,TCP,Normal traffic,Phishing,High,Detected,Suspicious
4/7/2026 0:07,192.168.89.208,10.15.176.191,TCP,Unauthorized access,DDoS,High,Blocked,Normal
1/5/2026 13:20,172.27.78.170,172.23.249.192,ARP,Regular communication,DDoS,Low,Detected,Normal
4/11/2026 12:06,10.9.178.232,192.168.78.142,UDP,Normal traffic,ARP Spoofing,Medium,Monitored,Suspicious
3/27/2026 18:29,172.29.94.78,192.168.211.13,HTTP,High request rate,ARP Spoofing,High,Detected,Suspicious
3/31/2026 16:47,172.30.84.136,192.168.3.96,UDP,Regular communication,Brute Force,High,Blocked,Suspicious
3/12/2026 15:09,172.22.74.25,10.159.140.111,DNS,Unauthorized access,Brute Force,Medium,Detected,Suspicious
1/26/2026 2:39,10.133.140.195,192.168.116.87,TCP,Suspicious packet flow,Phishing,Low,Detected,Normal
1/29/2026 3:58,172.25.162.225,10.124.68.112,HTTP,Repeated requests,Malware Activity,Low,Detected,Normal
2/11/2026 21:46,172.17.8.34,172.26.88.154,TCP,Regular communication,DDoS,Low,Monitored,Suspicious
3/6/2026 4:46,10.114.73.157,192.168.211.120,ARP,Regular communication,Phishing,High,Monitored,Suspicious
4/21/2026 23:19,10.176.49.57,172.19.199.164,ARP,High request rate,DDoS,High,Blocked,Suspicious
2/12/2026 8:56,192.168.38.161,172.19.202.206,UDP,Normal traffic,DDoS,Medium,Detected,Suspicious
3/10/2026 18:10,172.31.117.77,10.134.59.24,HTTP,Connection retry,SQL Injection,High,Blocked,Suspicious
1/28/2026 8:15,10.83.71.37,172.16.212.247,TCP,Normal traffic,ARP Spoofing,High,Detected,Normal
5/5/2026 2:32,10.154.13.202,192.168.45.175,UDP,Normal traffic,SQL Injection,Medium,Detected,Normal
4/15/2026 5:40,192.168.218.61,10.12.183.132,DNS,High request rate,Malware Activity,Low,Blocked,Normal
4/19/2026 17:20,10.156.60.58,10.229.31.135,HTTP,Normal traffic,Phishing,Low,Monitored,Normal
5/2/2026 4:12,192.168.198.200,10.233.172.169,HTTP,Regular communication,Phishing,High,Blocked,Normal
2/26/2026 16:24,10.15.222.182,172.23.121.224,HTTP,Unauthorized access,Phishing,High,Detected,Normal
3/25/2026 9:29,192.168.175.247,172.21.142.77,HTTP,Abnormal lookup,DDoS,High,Blocked,Normal
3/31/2026 16:04,192.168.63.3,192.168.253.143,HTTP,Unauthorized access,Malware Activity,High,Detected,Normal
4/6/2026 6:04,172.25.206.110,192.168.69.241,UDP,Regular communication,Brute Force,Medium,Detected,Suspicious
4/16/2026 16:44,10.119.160.153,172.31.101.253,UDP,Unauthorized access,ARP Spoofing,High,Monitored,Suspicious
3/24/2026 9:42,172.17.161.227,10.133.124.185,TCP,Abnormal lookup,Brute Force,Medium,Monitored,Suspicious
3/5/2026 8:04,10.246.235.104,192.168.135.8,UDP,Unauthorized access,ARP Spoofing,Low,Monitored,Normal
5/5/2026 23:16,172.18.47.152,192.168.177.68,UDP,Connection retry,Phishing,Medium,Detected,Normal
1/8/2026 18:54,172.28.226.66,192.168.45.43,HTTP,Normal traffic,Brute Force,Medium,Detected,Suspicious
1/11/2026 19:32,172.21.147.75,10.234.170.24,DNS,Unauthorized access,DDoS,Medium,Monitored,Normal
4/15/2026 12:21,172.24.201.63,172.19.232.70,UDP,Abnormal lookup,SQL Injection,High,Blocked,Normal
4/18/2026 15:05,172.23.56.113,10.238.20.171,HTTP,Unauthorized access,DDoS,Low,Blocked,Normal
2/20/2026 3:35,172.23.247.214,10.0.188.217,TCP,Abnormal lookup,SQL Injection,Low,Detected,Suspicious
4/28/2026 5:20,10.124.81.61,172.20.94.223,DNS,Regular communication,SQL Injection,Medium,Detected,Normal
1/7/2026 23:51,172.31.124.162,10.102.23.181,UDP,Unauthorized access,Brute Force,High,Monitored,Suspicious
4/2/2026 4:34,10.232.180.63,10.216.130.244,UDP,Regular communication,DDoS,Low,Monitored,Suspicious
4/30/2026 1:17,10.118.135.238,192.168.115.253,HTTP,Suspicious packet flow,ARP Spoofing,Low,Monitored,Normal
1/27/2026 0:10,192.168.144.68,10.211.101.28,ARP,Suspicious packet flow,Brute Force,Low,Blocked,Normal
3/2/2026 11:56,172.26.14.179,192.168.192.106,UDP,Unauthorized access,Brute Force,High,Monitored,Suspicious
1/9/2026 21:05,172.16.254.201,10.218.110.74,UDP,Unauthorized access,DDoS,Low,Blocked,Normal
1/11/2026 6:42,192.168.136.164,192.168.214.86,TCP,Repeated requests,Brute Force,Low,Detected,Suspicious
3/25/2026 18:29,172.25.185.165,172.29.227.118,UDP,Normal traffic,SQL Injection,Medium,Blocked,Normal
3/17/2026 19:08,192.168.160.56,172.23.206.63,TCP,Unauthorized access,Phishing,Low,Monitored,Normal
1/29/2026 22:08,192.168.4.146,10.170.252.23,TCP,Abnormal lookup,ARP Spoofing,Medium,Monitored,Normal
2/5/2026 15:50,172.18.225.95,192.168.76.179,HTTP,Suspicious packet flow,DNS Poisoning,High,Monitored,Suspicious
3/29/2026 5:37,192.168.252.245,172.21.242.92,TCP,Unauthorized access,Phishing,Medium,Monitored,Suspicious
4/1/2026 17:35,172.30.85.147,10.185.220.6,UDP,Unauthorized access,DNS Poisoning,Low,Monitored,Normal
1/31/2026 2:07,10.241.238.51,172.25.149.17,UDP,Regular communication,ARP Spoofing,Medium,Blocked,Suspicious
3/9/2026 11:18,192.168.10.195,172.30.31.65,TCP,Connection retry,ARP Spoofing,Medium,Detected,Suspicious
3/31/2026 17:12,10.75.62.51,172.24.29.67,UDP,Connection retry,DDoS,Medium,Detected,Suspicious
3/3/2026 9:15,172.25.83.125,172.17.54.68,TCP,Connection retry,ARP Spoofing,Medium,Blocked,Suspicious
1/3/2026 23:39,172.23.42.107,192.168.9.219,TCP,Connection retry,Malware Activity,Low,Blocked,Suspicious
3/29/2026 1:07,192.168.215.30,10.105.227.18,UDP,Unauthorized access,DDoS,Medium,Blocked,Normal
2/27/2026 5:30,172.25.103.189,172.16.209.93,UDP,Normal traffic,Malware Activity,Medium,Blocked,Normal
3/10/2026 1:49,192.168.242.22,172.23.125.116,TCP,Regular communication,ARP Spoofing,Low,Monitored,Suspicious
1/14/2026 13:09,172.27.86.124,10.190.241.215,DNS,Connection retry,Phishing,Low,Detected,Suspicious
3/10/2026 12:13,10.38.171.68,192.168.78.41,HTTP,Abnormal lookup,DNS Poisoning,High,Detected,Suspicious
4/21/2026 6:59,192.168.122.242,172.18.161.233,ARP,Repeated requests,Brute Force,High,Blocked,Suspicious
5/2/2026 21:38,10.137.218.207,10.201.68.250,TCP,Normal traffic,DDoS,Low,Detected,Suspicious
2/9/2026 20:35,10.82.22.190,172.27.217.110,DNS,Repeated requests,SQL Injection,High,Blocked,Normal
1/28/2026 15:43,10.98.65.0,172.20.169.251,HTTP,Repeated requests,Brute Force,Low,Monitored,Normal
4/19/2026 8:08,10.48.158.118,192.168.108.31,TCP,Regular communication,Phishing,Low,Blocked,Normal
2/19/2026 14:10,192.168.204.77,10.72.19.161,ARP,Abnormal lookup,DNS Poisoning,High,Detected,Suspicious
2/19/2026 10:31,10.236.62.210,172.16.181.176,TCP,Abnormal lookup,DDoS,High,Monitored,Normal
3/24/2026 2:45,192.168.127.41,10.207.103.12,TCP,Repeated requests,DDoS,Low,Monitored,Normal
2/1/2026 20:12,10.148.252.84,192.168.53.65,DNS,Abnormal lookup,Malware Activity,Medium,Monitored,Suspicious
4/27/2026 16:08,10.243.149.61,192.168.73.72,DNS,High request rate,ARP Spoofing,Low,Detected,Normal
1/7/2026 22:35,172.25.19.99,10.35.64.55,TCP,Abnormal lookup,Brute Force,Medium,Detected,Suspicious
2/18/2026 1:43,172.30.33.184,192.168.235.238,HTTP,Repeated requests,DNS Poisoning,High,Detected,Suspicious
4/27/2026 12:20,172.29.188.183,172.27.48.138,HTTP,Repeated requests,DNS Poisoning,High,Detected,Normal
5/5/2026 10:23,10.79.179.79,10.244.247.3,TCP,High request rate,DDoS,Low,Monitored,Suspicious
1/21/2026 2:30,172.20.205.78,172.19.13.221,ARP,Connection retry,ARP Spoofing,Low,Blocked,Normal
3/7/2026 3:54,192.168.120.207,10.65.250.253,DNS,High request rate,SQL Injection,Low,Blocked,Suspicious
3/16/2026 4:47,192.168.234.194,10.193.196.62,HTTP,Connection retry,DNS Poisoning,Low,Blocked,Suspicious
5/1/2026 6:56,192.168.93.136,10.123.201.105,ARP,Regular communication,DDoS,Low,Detected,Normal
4/22/2026 16:50,192.168.18.128,172.16.123.136,HTTP,Repeated requests,ARP Spoofing,High,Detected,Suspicious
4/17/2026 20:23,172.30.69.105,10.247.218.211,TCP,Connection retry,ARP Spoofing,High,Monitored,Suspicious
2/17/2026 18:53,10.117.36.75,172.19.48.148,UDP,Unauthorized access,DDoS,Low,Detected,Normal
2/27/2026 7:39,192.168.252.163,10.158.94.186,ARP,Normal traffic,Brute Force,Medium,Monitored,Suspicious
1/20/2026 22:36,192.168.31.63,10.151.238.107,HTTP,Abnormal lookup,Malware Activity,Medium,Monitored,Suspicious
3/11/2026 5:10,172.21.184.254,192.168.179.20,TCP,Repeated requests,Brute Force,Medium,Detected,Suspicious
2/13/2026 17:49,10.201.171.4,10.39.211.47,DNS,Suspicious packet flow,SQL Injection,High,Blocked,Suspicious
5/5/2026 5:18,192.168.19.100,172.31.60.115,HTTP,Suspicious packet flow,DNS Poisoning,Low,Blocked,Normal
1/9/2026 4:01,192.168.217.153,10.207.174.71,ARP,Connection retry,Brute Force,High,Monitored,Normal
2/13/2026 5:47,192.168.95.216,192.168.0.82,UDP,Repeated requests,SQL Injection,Low,Blocked,Suspicious
4/1/2026 6:42,172.22.82.167,172.31.182.67,ARP,Normal traffic,Malware Activity,Medium,Blocked,Normal
1/6/2026 1:52,172.23.34.25,172.17.217.182,ARP,Unauthorized access,Brute Force,High,Monitored,Normal
4/14/2026 15:51,172.19.70.18,10.150.112.203,DNS,Connection retry,DNS Poisoning,Low,Detected,Suspicious
2/9/2026 1:04,10.24.214.90,10.76.198.64,TCP,Abnormal lookup,ARP Spoofing,Low,Monitored,Normal
4/19/2026 8:01,192.168.169.27,172.22.157.169,ARP,Normal traffic,DNS Poisoning,Medium,Blocked,Suspicious
3/17/2026 20:07,192.168.230.188,192.168.187.203,HTTP,Unauthorized access,ARP Spoofing,Medium,Detected,Normal
2/28/2026 18:37,10.117.140.52,10.236.142.95,HTTP,Normal traffic,ARP Spoofing,Low,Detected,Suspicious
1/8/2026 18:05,172.18.254.172,10.110.178.123,ARP,Repeated requests,Phishing,Medium,Monitored,Suspicious
1/12/2026 4:33,10.10.116.211,172.31.158.108,DNS,Abnormal lookup,SQL Injection,High,Monitored,Suspicious
